Class,EA,EB,EC
Normal,4.23E+10,4.84E+09,1.52E+10
Normal,4.23E+10,4.84E+09,1.52E+10
Normal,4.23E+10,4.84E+09,1.52E+10
Normal,4.23E+10,4.84E+09,1.52E+10
Normal,4.23E+10,4.84E+09,1.52E+10
Normal,4.23E+10,4.84E+09,1.52E+10
Normal,4.23E+10,4.84E+09,1.52E+10
Normal,4.23E+10,4.84E+09,1.52E+10
Normal,4.23E+10,4.84E+09,1.51E+10
Normal,4.20E+10,4.84E+09,1.51E+10
Normal,4.20E+10,4.84E+09,1.51E+10
Normal,4.20E+10,4.84E+09,1.51E+10
Normal,4.20E+10,4.84E+09,1.51E+10
Normal,4.20E+10,4.84E+09,1.51E+10
Normal,4.20E+10,4.84E+09,1.51E+10
LG,4.26E+10,4.83E+09,3.26E+10
LG,4.26E+10,4.85E+09,3.25E+10
LG,4.26E+10,4.89E+09,3.08E+10
LG,4.24E+10,4.84E+09,2.25E+10
LG,4.24E+10,4.84E+09,2.25E+10
LG,4.24E+10,4.86E+09,2.18E+10
LG,4.24E+10,4.84E+09,1.98E+10
LG,4.24E+10,4.84E+09,1.97E+10
LG,4.24E+10,4.85E+09,1.93E+10
LG,4.24E+10,4.84E+09,1.85E+10
LG,4.24E+10,4.84E+09,1.85E+10
LG,4.24E+10,4.85E+09,1.82E+10
LG,4.24E+10,4.48E+09,1.78E+10
LG,4.24E+10,4.84E+09,1.78E+10
LG,4.23E+10,4.85E+09,1.75E+10
LLG,6.71E+10,4.94E+09,3.24E+10
LLG,6.59E+10,4.96E+09,3.23E+10
LLG,6.38E+10,4.95E+09,3.11E+10
LLG,5.33E+10,4.88E+09,2.25E+10
LLG,5.28E+10,4.89E+09,2.24E+10
LLG,5.18E+10,4.88E+09,2.19E+10
LLG,4.93E+10,4.86E+09,1.97E+10
LLG,4.90E+10,4.87E+09,1.97E+10
LLG,4.83E+10,4.87E+09,1.94E+10
LLG,4.72E+10,4.85E+09,1.85E+10
LLG,4.72E+10,4.86E+09,1.85E+10
LLG,4.68E+10,4.86E+09,1.82E+10
LLG,4.61E+10,4.85E+09,1.78E+10
LLG,4.62E+10,4.85E+09,1.77E+10
LLG,4.58E+10,4.85E+09,1.76E+10
LLLG,6.29E+10,1.38E+09,3.02E+10
LLLG,6.75E+10,1.27E+10,2.93E+10
LLLG,6.67E+10,1.25E+10,3.27E+10
LLLG,6.78E+10,1.29E+09,2.93E+10
LLLG,6.59E+10,1.24E+10,3.27E+10
LLLG,6.51E+10,1.24E+10,3.26E+10
LLLG,6.59E+10,1.24E+10,3.27E+10
LLLG,6.29E+10,1.43E+10,3.15E+10
LLLG,5.27E+10,1.04E+10,2.40E+10
LLLG,5.15E+10,7.70E+09,2.15E+10
LLLG,5.35E+10,7.33E+09,2.11E+10
LLLG,5.32E+10,7.29E+09,2.26E+10
LLLG,5.37E+10,7.39E+09,2.11E+10
LLLG,5.28E+10,7.30E+09,2.25E+10
LLLG,5.23E+10,7.30E+09,2.25E+10
LL,4.23E+10,1.25E+10,2.66E+10
LL,4.23E+10,1.24E+10,2.66E+10
LL,4.23E+10,1.40E+10,2.89E+10
LL,4.23E+10,7.72E+09,2.00E+10
LL,4.23E+10,7.70E+09,2.00E+10
LL,4.23E+10,8.28E+09,2.09E+10
LL,4.23E+10,6.54E+09,1.82E+10
LL,4.23E+10,6.54E+09,1.82E+10
LL,4.23E+10,5.94E+09,1.72E+10
LL,4.23E+10,6.04E+09,1.73E+10
LL,4.23E+10,6.04E+09,1.73E+10
LL,4.23E+10,6.27E+09,1.77E+10
LL,4.23E+10,5.76E+09,1.69E+10
LL,4.23E+10,5.76E+09,1.69E+10
LL,4.23E+10,5.94E+09,1.72E+10
HIF,5.28E+10,4.86E+09,1.51E+10
HIF,5.57E+10,4.88E+09,1.51E+10
HIF,5.45E+10,4.91E+09,1.52E+10
HIF,4.22E+10,7.86E+09,1.52E+10
HIF,4.22E+10,7.82E+09,1.52E+10
HIF,4.22E+10,8.72E+09,1.52E+10
HIF,4.25E+10,4.84E+09,2.39E+10
HIF,4.25E+10,4.85E+09,2.39E+10
HIF,4.25E+10,4.87E+09,2.30E+10
HIF,4.90E+10,4.86E+09,1.51E+10
HIF,5.08E+10,4.87E+09,1.51E+10
HIF,4.90E+10,4.86E+09,1.51E+10
HIF,4.22E+10,6.46E+09,1.52E+10
HIF,4.22E+10,6.45E+09,1.52E+10
HIF,4.22E+10,6.93E+09,1.52E+10
LS,3.52E+11,4.72E+11,3.87E+11
LS,3.52E+11,4.72E+11,3.87E+11
LS,3.52E+11,4.72E+11,3.87E+11
LS,3.52E+11,4.72E+11,3.87E+11
LS,3.52E+11,4.72E+11,3.87E+11
LS,3.52E+11,4.73E+11,3.87E+11
LS,3.52E+11,4.73E+11,3.87E+11
LS,3.52E+11,4.73E+11,3.87E+11
LS,3.52E+11,4.73E+11,3.87E+11
LS,3.52E+11,4.73E+11,3.87E+11
LS,3.52E+11,4.73E+11,3.88E+11
LS,3.52E+11,4.73E+11,3.88E+11
LS,3.52E+11,4.73E+11,3.88E+11
LS,3.52E+11,4.73E+11,3.88E+11
LS,3.52E+11,4.73E+11,3.88E+11
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
CS,1.74E+09,3.99E+09,3.80E+09
